county_name,median_age,mean_savings,per_capita_income,percent_in_poverty,percent_veterans,percent_female,population_density,percent_in_nursing_homes,crime_index_PC,state,vote_for_dems_before,clinton_win
Leon,28.8,75763,17976,14.9,9.18,52.15,303.8,3.36,1206,FL,FALSE,TRUE
Levy,38.5,66825,12847,19.2,,52.15,24.2,6.42,445,FL,FALSE,TRUE
Madison,32.3,47323,12325,23.8,8.56,48.53,24.1,6.41,311,FL,FALSE,TRUE
Manatee,43.1,89672,20904,12.9,10.08,52.55,295.3,6.26,848,FL,FALSE,FALSE
Marion,40,68657,15633,18.4,8.8,52.16,131.5,3.02,663,FL,FALSE,FALSE
Martin,44.5,120549,29881,10.8,10.25,51.17,188.8,4.24,556,FL,FALSE,FALSE
Monroe,38.8,111797,22453,11.5,14.45,47.35,80.1,3.6,957,FL,FALSE,TRUE
Nassau,33.4,42532,19059,11.9,10.38,50.49,72,2.52,425,FL,FALSE,FALSE
Okaloosa,31.5,71158,17767,11.2,11.11,49.8,163.4,3.24,371,FL,FALSE,FALSE
Okeechobee,34.3,68035,13683,21.8,8.59,49.15,39.3,5.1,482,FL,FALSE,TRUE
Orange,31.5,79270,18920,14.7,9.56,50.3,785,4.55,887,FL,FALSE,FALSE
Osceola,33.7,56749,15266,14,6.01,51.37,90.1,5.08,801,FL,FALSE,FALSE
Palm Beach,39.9,89950,31407,12.3,9.19,52.18,460.4,5.38,901,FL,FALSE,TRUE
Pasco,48,90991,15427,14.6,11.1,52.49,385.5,5.37,447,FL,FALSE,TRUE
Pinellas,42.1,109640,21721,12.8,14.19,53.24,3081.4,9.32,734,FL,FALSE,TRUE
Polk,36.5,76139,16280,17.9,10.13,51.5,223.5,4.28,892,FL,FALSE,FALSE
Putnam,37.3,42137,13281,24.3,11.42,51.14,92.5,2.35,848,FL,FALSE,TRUE
St. Johns,37,81562,23965,11.8,9.13,51.5,148.3,5.38,683,FL,FALSE,FALSE
St. Lucie,37.9,67471,15425,15.9,8.24,51.33,281.7,5.1,643,FL,FALSE,FALSE
Santa Rosa,32.5,57891,16150,12.6,9.33,50.18,88.7,3.02,393,FL,FALSE,FALSE
Sarasota,49,138285,27785,9.9,11.19,53.17,498.6,8.29,692,FL,FALSE,FALSE
Seminole,33.3,55465,19694,9.9,9.26,51.11,1004.2,3.09,592,FL,FALSE,FALSE
Sumter,40.1,,13285,21.7,11.26,50.05,59.4,6.17,407,FL,FALSE,TRUE
Suwannee,36.5,53874,13975,19.3,9.37,52.07,41,16.11,318,FL,FALSE,FALSE
Taylor,33.5,37261,13963,20.6,12.27,51.33,16.6,6.47,354,FL,FALSE,FALSE
Volusia,39.4,102898,16388,15.4,10.56,52.02,352.3,6.43,608,FL,FALSE,TRUE
Wakulla,34.2,40833,14183,15.4,10.35,51.24,25.4,7.53,227,FL,FALSE,FALSE
Walton,37.8,32464,13562,18.7,11.21,50.09,27.9,4.03,212,FL,FALSE,FALSE
Washington,37.3,24995,12870,21.2,10.27,52.09,30,10.06,,FL,FALSE,FALSE
Appling,32.3,42773,12725,21.2,8.33,52.16,31.4,2.34,200,GA,FALSE,FALSE
Bacon,,87193,13056,24.2,8.18,,34.4,8.37,,GA,FALSE,TRUE
Baldwin,31.9,88596,16195,19.1,9.44,48.41,156.3,14.24,,GA,FALSE,TRUE
Barrow,31.1,67746,,15.2,7,51.06,,5.23,,GA,FALSE,FALSE
Bartow,31.5,57532,15193,13,7.52,51.07,129.2,2.37,286,GA,FALSE,FALSE
Ben Hill,32.4,119063,14482,23.7,9.39,54.16,65.9,14.16,536,GA,FALSE,TRUE
Berrien,32.9,67781,14452,19.9,9.08,51.24,31.8,,254,GA,FALSE,TRUE
Bibb,32.6,76630,18657,23.5,12.08,53.44,608.8,7.42,867,GA,FALSE,TRUE
Bleckley,32.6,82649,15466,17.4,10.15,52.24,48.8,7.38,141,,FALSE,TRUE
Brooks,32.1,41679,13093,29.8,8.54,53.23,31.2,12.21,326,,FALSE,TRUE
Bulloch,26.1,85664,13214,22.4,7.09,51.42,66.5,7.18,392,GA,FALSE,FALSE
Burke,29.6,60470,12699,29.2,7.07,53.09,25.3,8.07,324,GA,FALSE,TRUE
Butts,32.4,66241,14173,18.7,9.05,47.2,84.1,12.48,276,GA,FALSE,TRUE
Calhoun,33.5,113227,15112,29.2,8.41,55.19,17.5,12.24,253,GA,TRUE,TRUE
Camden,27.2,27287,12197,11.2,4.24,46.31,59.7,1.44,289,GA,FALSE,FALSE
Candler,34.6,103484,15555,25.5,10.05,52.5,32.4,36.15,54,GA,FALSE,TRUE
Carroll,30.4,62832,14798,16,7.53,51.52,148,7.17,461,GA,FALSE,FALSE
Catoosa,33.9,37852,13415,12.6,11.54,52.03,273.1,4.4,308,GA,FALSE,FALSE
Charlton,30.4,66347,11564,21.3,8.39,51.51,11.3,10.34,66,GA,FALSE,FALSE
Chatham,32.2,87632,19023,20,10.59,52.28,504.1,5.35,816,GA,FALSE,FALSE
Chattooga,34.8,54196,14066,15,11.33,52.03,71.4,7.01,157,GA,FALSE,TRUE
Cherokee,31.1,52897,17175,7.5,6.24,50.07,240.7,3.07,223,GA,FALSE,FALSE
Clarke,25.6,100548,16223,22.3,8.06,52.24,731,5.28,1007,GA,TRUE,TRUE
Clay,34.2,39635,12350,35.4,7.41,55.33,17.4,14.41,206,GA,TRUE,TRUE
Clayton,29.9,43964,16855,14,11.25,51.22,1318.4,1.36,804,GA,FALSE,TRUE
Clinch,31.6,57082,12584,25,8.19,52.01,7.7,14.52,226,GA,FALSE,FALSE
Cobb,31.7,84137,23195,8.2,9.34,51.17,1402.1,2.42,564,GA,FALSE,FALSE
Coffee,30.5,95719,15271,23.1,7.59,52.28,51.2,5.16,777,GA,FALSE,FALSE
Colquitt,32.6,78057,14892,25.8,10.36,51.44,67,8.02,638,GA,FALSE,FALSE
Columbia,31.2,30540,17165,7.7,7.2,50.04,251,2.36,315,GA,FALSE,FALSE
Cook,32.4,57653,12865,22.5,9.7,52.38,58.9,7.29,482,GA,FALSE,TRUE
Coweta,32,59670,17069,12.6,8.37,52.08,136.3,4.39,347,GA,FALSE,FALSE
Crawford,31.7,26096,12882,16.7,8.13,50.55,28.3,10.43,180,GA,FALSE,TRUE
Crisp,32.8,62798,14794,30.4,8.35,54.08,74.1,11.38,138,GA,FALSE,TRUE
Dade,32.7,53856,12299,16.3,10.2,51.14,76.5,5.29,180,GA,FALSE,FALSE
Decatur,31.7,56397,14744,26.9,10.11,52.35,43.4,8.39,497,GA,FALSE,TRUE
Dodge,33.8,83682,13028,23.2,8.51,50.9,35.4,11.08,366,GA,FALSE,TRUE
Dooly,32.8,78470,14815,29,8.25,54.52,25.4,8.6,164,GA,TRUE,TRUE
Dougherty,29.9,67640,15650,27.6,12.23,53.06,296.3,4.34,1043,GA,FALSE,TRUE
Douglas,31.1,41886,16590,9.5,9.22,50.39,377.3,6.54,339,GA,FALSE,FALSE
Early,33.4,62383,14237,32,8.14,54,23.7,10.41,109,GA,FALSE,TRUE
Effingham,30.3,39298,14646,,8.39,50.19,57.1,2.01,242,GA,FALSE,FALSE
Elbert,34.4,99841,14526,21.4,10.02,52.44,51.5,9.58,442,GA,FALSE,TRUE
Emanuel,32.3,88914,12667,28.4,9.25,52.42,30.2,12.17,,GA,FALSE,TRUE
Evans,32.2,,14679,25.6,9.17,,48.1,10.06,116,GA,FALSE,FALSE
Fannin,39,88296,12626,17.6,10.03,52.18,43,6.08,202,GA,FALSE,FALSE
Fayette,34.1,67403,22708,3.9,6.26,50.41,352.6,1.51,176,GA,FALSE,FALSE
Floyd,34.5,80777,17463,16.2,12.1,,160.1,8.22,575,GA,FALSE,FALSE
Forsyth,32.8,71411,20194,7.9,6.2,50.26,220.5,4.1,469,GA,FALSE,FALSE
Franklin,35.9,117833,16263,17,9.12,52.11,65.3,8.37,252,,FALSE,TRUE
Fulton,,201597,28465,23,10.2,52.21,1257,4.07,1354,GA,TRUE,TRUE
Gilmer,35.4,95830,14779,17.3,8.1,51.24,33.5,5.59,7,GA,FALSE,FALSE
Glascock,37,23635,,16.1,,53.26,16,45.22,27,GA,FALSE,FALSE
Glynn,34.1,60632,19001,17.2,12.08,52.49,151,8.45,862,GA,FALSE,FALSE
Gordon,32.4,61457,15699,12.5,9.01,,102.2,6.07,331,GA,FALSE,FALSE
Grady,32.9,71544,12936,24.9,10.05,52.48,45,7.15,448,GA,FALSE,TRUE
Greene,32.5,131716,14059,23.8,7.46,53.24,31.4,6.14,262,GA,TRUE,TRUE
Gwinnett,30.5,51598,21670,5.8,5.59,50.31,903,1.54,477,GA,FALSE,FALSE
Habersham,33.3,136899,16107,12.3,10.38,49.29,102.8,7.29,164,GA,FALSE,FALSE
Hall,32.3,135515,17885,14.2,9.12,51.02,253.5,3.9,456,GA,FALSE,FALSE
Hancock,31,52587,12272,28.8,5.22,54.45,19,17.29,149,GA,TRUE,TRUE
Haralson,33.5,82213,14632,17.5,9.3,52.37,79.4,5.27,326,GA,FALSE,TRUE
Harris,35.6,29930,17105,12.9,11.35,50.55,39.2,5.22,251,GA,FALSE,FALSE
Hart,35.7,89142,15264,15.7,10.16,52.22,87,6.09,40,GA,FALSE,TRUE
Henry,31.9,51437,16942,7.4,6.8,50.53,209.5,3.36,271,GA,FALSE,FALSE
Houston,31,54104,16375,12.6,12.36,51.2,247.6,3.8,539,GA,FALSE,FALSE
Irwin,33.3,72578,13801,25.1,8.06,53.25,24.1,13.19,410,GA,FALSE,TRUE
Jackson,33,58627,14970,15.9,9.01,50.46,91.7,12.13,333,GA,FALSE,FALSE
Jasper,33.8,80168,14962,18.3,9.38,51.8,23.5,5.06,107,GA,FALSE,TRUE
Jeff Davis,31.8,47707,14191,19.6,8.37,51.18,36.3,11.49,462,GA,FALSE,TRUE
Jefferson,31.4,75253,13775,27.7,7.19,53.8,33.2,12,90,GA,FALSE,TRUE
Jenkins,32.6,57944,12502,25.2,9.28,53.21,24.3,10.12,366,GA,FALSE,TRUE
Johnson,32.7,61128,12452,24.5,7.12,53.49,27.3,18.19,27,GA,FALSE,TRUE
Jones,32.2,26033,16620,12.6,9.32,51.43,54.1,10.02,130,GA,FALSE,TRUE
Lamar,33.4,74828,13034,17.8,10.09,53.17,73.1,8.52,245,GA,FALSE,TRUE
Lanier,31.6,102309,14000,24.6,9.18,51.28,30.5,10.53,255,GA,FALSE,TRUE
Laurens,33,100282,15378,21.4,10.19,52.22,50.5,11.38,586,GA,FALSE,TRUE
Liberty,24,20855,10420,19,5.07,45.38,110.6,2.8,354,GA,FALSE,TRUE
,28.9,72967,15455,22.4,9.42,51.01,154.7,4.31,719,GA,FALSE,FALSE
,30.3,92881,15051,14.7,6.25,50.36,54.1,6.49,185,GA,FALSE,TRUE
,32,87855,15110,20.7,8.5,53.18,80.4,7.18,120,GA,FALSE,FALSE
Macon,31.2,54723,13986,30.2,8.05,54.04,32.2,17.54,179,GA,TRUE,TRUE
Madison,32.8,,14508,16.3,9.31,51.01,77.7,4.52,6,GA,FALSE,FALSE
Marion,32.1,35486,12658,24.1,8.19,52.32,15.5,9.17,56,GA,FALSE,TRUE
Meriwether,31.8,58441,11869,23.6,8.47,52.2,45.1,7.22,276,GA,FALSE,TRUE
Miller,34.7,102114,14944,24,9.59,52.55,22.3,15.08,62,GA,FALSE,TRUE
Mitchell,30.7,69819,13683,30.7,7.8,53.02,40,12.24,464,GA,FALSE,TRUE
Monroe,33,48653,14815,15.8,7.49,51.32,45.2,15.31,278,GA,FALSE,TRUE
Morgan,32.8,82064,15841,17.3,8.2,51.8,38,5.04,344,GA,FALSE,TRUE
Murray,30.4,40531,13615,12.1,7.07,50.38,80.4,4.22,284,GA,FALSE,FALSE
Muscogee,30.6,92928,16740,22.2,12.55,52.09,859.9,5.51,620,GA,FALSE,TRUE
Newton,31.1,55474,14955,15.8,8.04,52.1,161.7,5.06,599,GA,FALSE,TRUE
Oglethorpe,33.5,43697,14094,16.5,8.1,52.17,23.1,6.38,196,GA,FALSE,FALSE
Paulding,29.8,44189,13925,9,6.39,50.02,150.8,3.25,277,GA,FALSE,FALSE
Peach,30,67911,16049,25.2,9.29,52.33,144.9,3.33,251,GA,TRUE,TRUE
Pickens,34.4,100331,16530,13.8,7.31,51.04,64.6,10.6,93,GA,FALSE,TRUE
Pierce,33.3,74455,14439,21.1,10.06,51.35,39.7,5.11,224,GA,FALSE,FALSE
Pike,33.5,62030,14928,13.3,10.16,50.51,48.1,5.9,134,GA,FALSE,FALSE
Polk,33.8,57379,13612,18.4,11.18,52.37,110.2,8.28,404,GA,FALSE,TRUE
Pulaski,35.3,100364,17087,21.5,12.34,53.46,32.7,12.59,400,GA,TRUE,TRUE
Putnam,34.2,62346,15325,16.9,7.04,51.03,43.3,6.31,167,GA,FALSE,TRUE
Rabun,39.8,132881,13923,15,11.14,51.56,32.1,9.22,182,GA,FALSE,FALSE
Randolph,32.1,79026,13060,34.9,9.23,54.39,18.9,10.28,96,GA,TRUE,TRUE
Richmond,30.3,63422,17331,21.9,11,50.47,623,6.32,715,GA,FALSE,TRUE
Rockdale,32.1,53077,18460,8.8,8.58,50.56,450.7,2.9,425,GA,FALSE,FALSE
Screven,33,63338,14521,22.3,9.21,53.01,21.3,9.2,254,GA,FALSE,TRUE
Seminole,33.6,67054,13826,27.6,9.12,50.44,38.2,6.7,372,GA,FALSE,TRUE
Spalding,32.1,69241,15108,18.6,10.1,52.05,283.8,6.16,814,GA,FALSE,FALSE
Stephens,34.8,63985,14916,16.8,10.11,52.26,133.9,7.54,181,GA,FALSE,FALSE
Sumter,30.4,91433,15141,26,9.18,54.29,63.5,11.21,546,GA,FALSE,TRUE
Tattnall,33.1,63776,13767,26.2,10.1,46.41,37.2,13.33,260,GA,FALSE,FALSE
Telfair,34,88781,12995,26.3,8.45,54.03,26.3,19.11,172,GA,FALSE,TRUE
Terrell,33.1,102730,13828,30.9,8.08,54.1,31.3,7.35,471,GA,FALSE,TRUE
Thomas,33.1,79996,16732,23.5,10.14,53.34,72,6.58,446,GA,FALSE,FALSE
Tift,30.7,101581,15714,23.6,8.8,51.34,133.9,7.04,665,GA,FALSE,FALSE
Toombs,32,66903,14833,25,9.13,52.49,66.8,14.36,334,GA,FALSE,FALSE
Towns,43,134393,13559,14.3,10.21,51.35,42,11.26,63,GA,FALSE,FALSE
Treutlen,33.2,46858,12246,27,6.44,54.13,29.4,8.31,125,GA,FALSE,TRUE
Troup,32.5,72590,16161,18.4,10.06,53.21,136.7,7.31,708,GA,FALSE,FALSE
Turner,31.5,154594,15045,29.8,10.15,53.33,30.4,9.02,255,GA,FALSE,TRUE
Twiggs,30.8,10618,11861,22.5,8.19,52.35,26.9,13.2,87,GA,TRUE,TRUE
Union,39.3,148835,13326,15.7,7.26,50.34,40,15.5,129,GA,FALSE,FALSE
Upson,34.8,74363,14078,17.1,11.04,53.16,80.8,11.33,388,GA,FALSE,FALSE
Walker,34.5,36663,14335,14.3,12.6,51.48,132.6,4.07,367,GA,FALSE,FALSE
Walton,31.7,65240,16137,14.8,7.39,52.01,123.3,5.59,294,GA,FALSE,FALSE
Ware,34.4,76858,14166,22.6,11.4,52.04,39.7,12.12,546,GA,FALSE,FALSE
Warren,33.4,38632,12854,27.1,8.22,55.04,21,18,65,GA,TRUE,TRUE
Washington,32,75487,16265,23.4,7.41,53.11,28.5,11.29,353,GA,FALSE,TRUE
Wayne,32.6,57496,14135,21.4,9.37,51.43,36.9,9.16,482,GA,FALSE,FALSE
Wheeler,34.2,32265,13183,26.2,8.54,51.51,16.1,11.46,167,GA,FALSE,TRUE
White,36.8,114242,17087,12.5,8.5,51.32,57.5,10.58,254,GA,FALSE,FALSE
Whitfield,32.2,75849,18450,12.9,10.07,50.8,255.2,4.45,418,GA,FALSE,FALSE
Wilcox,34.7,98480,14476,27.4,9.06,52.7,18.4,27.14,79,GA,FALSE,TRUE
Wilkes,35.4,117984,15605,19.6,9.49,52.15,22.7,4.39,223,GA,FALSE,TRUE
Worth,31.5,49986,13579,24.3,8.5,52.24,35.8,3.29,215,GA,FALSE,TRUE
Ada,31.9,78600,21384,9.1,11.06,51.36,211.9,4.35,463,ID,FALSE,FALSE
Adams,36.2,48949,15461,12.6,12.8,48.34,2.6,5.26,169,ID,FALSE,FALSE
Bannock,29.5,68873,14920,12.4,11.55,50.3,61.6,3.8,548,ID,FALSE,FALSE
Bear Lake,30.9,95563,12505,12.1,11.44,51.02,6.5,6.27,154,ID,FALSE,FALSE
Benewah,34.6,77437,15726,13.9,14.12,49.23,10.4,7.41,247,ID,FALSE,TRUE
Bingham,27.6,45989,14077,15.2,9.18,50.19,19,2.04,269,ID,FALSE,FALSE
Blaine,33.3,110136,24384,6.6,8.26,48.37,5.6,1.34,530,ID,FALSE,TRUE
Bonneville,28.7,68738,17733,10.6,10.52,49.53,41.3,3.06,493,ID,FALSE,FALSE
Boundary,32.8,70555,13381,15.4,12.26,49.26,6.8,4.42,157,ID,FALSE,FALSE
Butte,33.3,66950,13047,12.7,15.33,50.01,1.3,7.07,50,ID,FALSE,FALSE
Canyon,31.6,48339,14121,17,10.26,51.03,163.6,5.59,537,ID,FALSE,FALSE
Caribou,30.3,73751,15018,7.7,13.58,50.04,4,6.06,196,ID,FALSE,FALSE
Cassia,29.2,100296,16686,15.6,10.23,50.08,7.9,4.7,529,ID,FALSE,FALSE
Clearwater,37.5,74476,15466,12.2,18.06,48.21,3.5,13.16,107,ID,TRUE,TRUE
Elmore,27.7,29413,16949,11.2,11.5,48.3,6.7,5.15,327,ID,FALSE,FALSE
Franklin,27.5,56257,11497,11.8,7.54,49.52,14.3,5.03,158,ID,FALSE,FALSE
Fremont,28.1,52203,13539,13.6,10.21,48.55,6.1,2.12,189,ID,FALSE,FALSE
Gem,36,70698,15081,15.7,13.13,50.33,22.4,8.02,190,ID,FALSE,FALSE
Gooding,34.7,78628,16416,15.2,13.45,50.26,16.6,3.06,169,ID,FALSE,FALSE
Idaho,36.5,83686,14681,14,14.33,49.24,1.7,6.06,149,ID,FALSE,FALSE
Jerome,32.6,65378,15610,15.1,10.8,50.25,26.3,2.34,365,ID,FALSE,FALSE
Kootenai,35,77050,17642,11.5,12.07,51.18,62.1,4.49,565,ID,FALSE,FALSE
Latah,27.4,77344,15753,12.6,11.53,49.28,29.1,6.34,252,ID,TRUE,TRUE
Lemhi,38.1,96177,14244,15.5,15.01,50.37,1.6,6.03,37,ID,FALSE,FALSE
Madison,20,54431,10132,14.9,5.02,52.34,50.9,4.08,326,ID,FALSE,FALSE
Minidoka,30.4,50364,12786,15.1,10.53,49.7,26.6,4.26,403,ID,FALSE,FALSE
Nez Perce,35.6,81479,18111,11.1,14.54,51.33,41.3,5.9,423,ID,TRUE,TRUE
Oneida,31.4,91280,12546,11.2,9.11,50.33,2.9,7.26,134,ID,FALSE,FALSE
Owyhee,30.4,49278,12601,10.5,10.13,47.42,1.1,6.21,61,ID,FALSE,FALSE
Payette,34.1,62709,13692,17.8,10.11,51.13,42.9,5.31,310,ID,FALSE,FALSE
Power,29.8,64191,17631,13.8,10.27,50.09,5.3,4.13,379,ID,FALSE,FALSE
Shoshone,37.3,96099,14843,20.7,19.31,50.1,5.2,17.5,426,ID,TRUE,TRUE
Twin Falls,33.3,82766,15812,13.3,12.11,51.23,29.1,7.39,483,ID,FALSE,FALSE
Valley,37,76249,18218,11.8,12.16,49.12,1.9,8.12,555,ID,FALSE,FALSE
Washington,37.3,107648,13659,18.8,12.58,51.3,6,8.52,244,ID,FALSE,FALSE
Adams,35.4,97664,17574,14.2,14.37,52.39,77.7,14.08,378,IL,FALSE,FALSE
Alexander,34.8,55963,12673,30.1,14.03,53.02,44.8,8.23,645,IL,TRUE,TRUE
Bond,35,90772,16036,12,14.25,51.6,39.7,14.11,242,IL,FALSE,TRUE
Boone,33.1,61502,18120,7.6,11.02,50.53,116.2,8.23,256,IL,FALSE,FALSE
Bureau,36.3,154054,17890,9.4,13.9,52.09,41.1,12.55,104,IL,FALSE,TRUE
Calhoun,38.5,154006,15590,16.1,14.36,50.33,20.5,14.23,96,IL,TRUE,TRUE
Carroll,37.5,150530,17889,11,13.21,51.39,37.4,14.04,160,IL,FALSE,FALSE
Cass,35.8,125108,17913,11.9,15.32,51.25,35.4,23.01,98,IL,TRUE,TRUE
Champaign,27.8,92378,17183,13.3,9.55,49.11,175.6,6.23,560,IL,FALSE,TRUE
Christian,36.3,117869,17799,11.1,14.11,52.8,48.7,15.39,121,IL,TRUE,TRUE
Clark,37,119211,15810,11.5,14.28,49.31,31.9,15.56,94,IL,FALSE,TRUE
Clay,36.8,126863,16308,13.7,13.31,53.01,30.7,13.18,83,IL,FALSE,TRUE
Clinton,32.8,130285,18055,8.7,12.2,49.38,72.3,12.35,146,IL,FALSE,TRUE
Coles,29.8,79061,16366,13.1,12.18,53.14,102.1,14.14,208,IL,FALSE,TRUE
Cook,32.6,148027,23121,17.6,12.11,52.05,5430.5,6.14,783,IL,TRUE,TRUE
Crawford,37.1,150203,17695,10.5,15.19,50.31,44.2,11.17,165,IL,FALSE,TRUE
Cumberland,33.9,80559,15694,11.7,13.09,50.55,31.2,5.19,110,IL,FALSE,TRUE
DeKalb,27.1,115885,17077,8.7,9.51,50.6,125.8,7.29,145,IL,FALSE,TRUE
Douglas,34.5,107633,16038,9.4,12.37,51.54,46.8,13.38,112,IL,FALSE,TRUE
DuPage,32.3,92125,29399,3.8,11.05,51.13,2434.2,5.33,322,IL,FALSE,FALSE
Edgar,37.3,112061,16044,14.2,14.15,52.48,31.3,12.21,75,IL,FALSE,TRUE
Edwards,37.3,144554,15186,10.6,14.28,52.36,33.3,6.49,45,IL,FALSE,FALSE
Effingham,32,143466,17171,9.3,12.04,51.11,67.1,12.59,300,IL,FALSE,FALSE
Fayette,35.3,85860,13932,14.6,14.21,49.31,29,14.38,189,IL,FALSE,TRUE
Ford,36.9,139119,19333,9.2,14.57,52.15,28.8,24.04,123,IL,FALSE,FALSE
Franklin,37.8,114240,14764,18,14.47,52.51,97.3,11.52,47,IL,TRUE,TRUE
Fulton,36.9,95342,15706,14.6,14.49,50.47,44,13.41,259,IL,TRUE,TRUE
Gallatin,39.2,113716,16542,18.1,12.29,52.09,21,24.22,81,IL,TRUE,TRUE
Greene,36,131744,14005,14.6,14.27,51.41,28.2,10.14,190,IL,FALSE,TRUE
Grundy,33.3,108334,20467,5.7,11.57,50.31,80.5,8.58,57,IL,FALSE,FALSE
Hamilton,39.1,137476,15874,15.4,13.22,53.09,19.5,19.34,81,IL,FALSE,TRUE
Hancock,37.3,107816,16043,12.3,14.31,52.42,27.1,11.19,191,IL,TRUE,TRUE
Hardin,37.3,73273,13939,19.9,12.4,50.17,29.2,22.12,77,IL,FALSE,TRUE
Henry,36,110188,16385,10.5,13.49,51.13,62.3,10.12,74,IL,TRUE,TRUE
Iroquois,37,114726,17173,9.7,13,51.49,27.9,15.51,69,IL,FALSE,FALSE
Jackson,26.5,63326,13786,21.3,11.16,48.39,103.9,7.08,696,IL,TRUE,TRUE
Jasper,34.4,141455,16837,11,12.32,51.09,21.4,7.45,134,IL,FALSE,TRUE
Jefferson,34.9,89293,16110,16.2,13.33,52.36,65,8.27,449,IL,TRUE,TRUE
Jersey,33.2,73085,15500,11.8,14.35,51.02,56.9,10.38,264,IL,TRUE,TRUE
Jo Daviess,36.2,165969,19094,8,13.05,51.16,36.3,6.56,135,IL,FALSE,FALSE
Johnson,35.9,104696,11394,15.7,12.19,42.27,33.5,6.12,3,IL,FALSE,TRUE
Kane,30.9,84074,21482,8.4,10.34,50.29,640.7,6.16,447,IL,FALSE,FALSE
Kankakee,32.9,83669,17006,13.3,12.51,51.5,146.1,10.01,569,IL,FALSE,TRUE
Kendall,32,68458,19966,3.8,11.59,50.32,128.8,3.2,164,IL,FALSE,FALSE
Knox,36.5,71718,16824,13.3,14.18,51.17,78.6,15.6,400,IL,TRUE,TRUE
Lake,31.6,90609,30590,6.5,11.08,49.4,1205.2,6.57,365,IL,FALSE,FALSE
Lawrence,38,94545,19233,14.7,14.22,53.13,42.7,24.11,166,IL,FALSE,TRUE
Lee,34.2,108938,16000,9.1,13.12,49.42,48,13.02,155,IL,FALSE,FALSE
Livingston,34.3,115211,17256,9.8,13.2,50.31,38.2,14.18,202,IL,FALSE,FALSE
Logan,34.6,120703,16788,11,13.22,50.06,49.8,15.1,275,IL,FALSE,FALSE
McDonough,27.3,80531,14177,15.2,11.07,50.33,59.4,9.29,231,IL,FALSE,TRUE
McHenry,32.2,78011,22347,3.8,10.14,49.9,330.6,5.07,236,IL,FALSE,FALSE
McLean,28.8,73344,19768,8.8,10.07,52.09,112.9,7.59,267,IL,FALSE,FALSE
Macon,35,91099,19172,13.7,15.08,52.29,203.1,10.47,558,IL,TRUE,TRUE
Macoupin,36,107979,17154,12.3,13.7,52.06,55.5,14.41,146,IL,TRUE,TRUE
Madison,33.9,89259,18788,12,14.15,52.32,348.6,8.17,418,IL,TRUE,TRUE
Marion,35.1,99571,16832,15.8,13.37,52.45,72.9,12.59,327,IL,FALSE,TRUE
Marshall,37.8,114940,17374,9.4,15.02,51.51,33.4,12.17,68,IL,FALSE,TRUE
Mason,36.5,123284,15976,12.8,16.15,51.2,30.8,10.12,60,IL,FALSE,TRUE
Massac,37.7,107481,14635,15.4,13.37,53.18,62.3,20.2,273,IL,FALSE,TRUE
Menard,35.4,131067,18855,8.5,14.13,52.03,36.3,15,57,IL,FALSE,FALSE
Mercer,36,82766,16409,10.8,13.57,51.38,30.8,11.16,68,IL,TRUE,TRUE
Monroe,33.9,131814,18565,5.2,12.12,50.7,60.5,12,179,IL,FALSE,TRUE
Montgomery,35.3,130588,16214,13.4,14.09,50.32,43.8,18.7,147,IL,TRUE,TRUE
Morgan,34.3,103833,16911,11.5,13.36,51.31,63.8,20.04,599,IL,FALSE,FALSE
Moultrie,36.7,117527,15918,9,12.11,52.29,42,59.22,92,IL,FALSE,TRUE
Ogle,34,84020,16868,7.6,12.13,51.33,62.6,13.35,129,IL,FALSE,FALSE
Peoria,33.8,92882,19772,14.9,14.37,52.05,296.5,8.39,741,IL,FALSE,TRUE
Perry,35.5,110791,14858,14.5,13.21,52.24,48.3,12.09,179,IL,TRUE,TRUE
Piatt,36.2,159259,20296,6.9,14.37,51.29,35.7,9.36,222,IL,FALSE,TRUE
Pike,37.9,140925,14642,16.6,13.9,51.7,21.1,10.4,62,IL,TRUE,TRUE
Pope,35.8,52443,12346,17.2,13.7,46.27,11.9,13.41,93,IL,FALSE,TRUE
Pulaski,34.8,51067,13671,25.5,14.07,53.5,37.4,7.6,19,IL,TRUE,TRUE
Randolph,34,108397,15168,12.2,12.38,47.21,59.6,15.13,138,IL,TRUE,TRUE
Richland,35.6,95760,16388,13,12.36,52.17,46.4,14.19,104,IL,FALSE,TRUE
Rock Island,34.8,101793,20022,13,15.24,52.21,351.7,7.2,497,IL,TRUE,TRUE
St. Clair,32,80024,17138,18.3,12.51,52.23,395.7,9.55,439,IL,TRUE,TRUE
Saline,38.2,153092,16413,18.7,14.38,53.13,69.1,19.43,85,IL,TRUE,TRUE
Sangamon,34.2,110793,20800,10.7,13.41,53.23,209.1,9.57,628,IL,FALSE,TRUE
Schuyler,37.4,97276,15398,12.7,15.01,51.19,17.1,13.6,89,IL,FALSE,TRUE
Scott,35.9,147300,14484,10.4,13.48,52.22,22.3,11.29,64,IL,FALSE,FALSE
Shelby,36.3,92716,15945,9.7,14.27,51.13,29.5,7.36,29,IL,FALSE,TRUE
Stark,37.6,171258,17449,10.4,14.03,52.08,22.2,35.16,117,IL,FALSE,FALSE
Stephenson,35,136018,18730,10.1,12.27,52.11,85.9,11.01,393,IL,FALSE,FALSE
